article_id,year,month,quarter,corpus,article_type,word_count,token_count,sentence_count,avg_sentence_len,med_sentence_len,unique_word_count,ttr,root_ttr,mattr,hapax_ratio,func_word_ratio,pos_noun,pos_verb,pos_adj,pos_adv,pos_propn,flesch_reading_ease,flesch_kincaid_grade,dale_chall_readability_score,smog_index,automated_readability_index
1093359,2015,1,1,news,news,645,640,33,23.06,22.0,259,0.4047,10.2379,0.654,0.6216,0.4641,0.17608409986859397,0.1116951379763469,0.05519053876478318,0.040735873850197106,0.06964520367936924,58.587991543340394,9.943114869626502,9.84480725863284,10.767703573000404,11.491099365750529
1093388,2015,1,1,news,news,180,177,9,23.11,23.0,113,0.6384,8.4936,0.7709,0.6991,0.4068,0.15384615384615385,0.07692307692307693,0.0673076923076923,0.03365384615384615,0.16346153846153846,47.095,11.162222222222223,10.318966666666668,13.023866798666859,11.591000000000001
1093397,2015,1,1,opinions,editorial,338,323,14,26.5,26.5,183,0.5666,10.1824,0.717,0.776,0.4675,0.16172506738544473,0.09433962264150944,0.0646900269541779,0.04582210242587601,0.0862533692722372,48.805811244979964,11.950433734939761,9.918379598393575,13.133204557630332,12.796489151873764
1093465,2015,1,1,news,news,1017,1011,42,27.93,26.5,451,0.4461,14.1841,0.73,0.6962,0.4471,0.19437340153452684,0.11423699914748509,0.059676044330775786,0.03495311167945439,0.0733162830349531,50.15838495575224,12.278743503301026,10.426909102402021,13.521783243513198,14.162305099030768
1093462,2015,1,1,news,news,153,145,7,25.14,27.0,95,0.6552,7.8893,0.7098,0.7474,0.3379,0.1534090909090909,0.09659090909090909,0.0625,0.03409090909090909,0.19318181818181818,43.650000000000006,12.600952380952382,11.325581605975724,13.707050652182112,13.941316526610649
1093503,2015,1,1,news,news,311,291,15,24.2,18.0,151,0.5189,8.8518,0.6114,0.7417,0.4467,0.14049586776859505,0.04132231404958678,0.04132231404958678,0.0027548209366391185,0.22865013774104684,40.318520923520964,11.886580086580086,10.329561760461761,14.15073652397713,10.82700250089318
1093467,2015,1,1,news,news,461,443,20,26.35,25.5,226,0.5102,10.7376,0.7015,0.7168,0.386,0.20113851992409867,0.07210626185958255,0.07400379506641366,0.028462998102466792,0.14800759013282733,41.81065899166339,12.599396585946803,11.391898412068281,13.535368456167088,14.23531650562019
1093395,2015,1,1,opinions,column,789,768,31,28.23,27.0,320,0.4167,11.547,0.6867,0.6531,0.4635,0.22171428571428572,0.08,0.07428571428571429,0.046857142857142854,0.036571428571428574,36.308409343715255,14.469840563589177,10.354293614303959,17.04697720187427,15.459412486201394
1093394,2015,1,1,opinions,column,919,948,38,30.68,28.0,417,0.4399,13.5435,0.7337,0.717,0.4019,0.2144082332761578,0.09605488850771869,0.0634648370497427,0.030017152658662092,0.08319039451114923,55.30046458492005,11.336303630363037,10.577016984006093,12.723304580811352,13.322834184314054
1093586,2015,1,1,opinions,column,961,931,63,17.9,18.0,442,0.4748,14.486,0.7597,0.7262,0.435,0.14095744680851063,0.09042553191489362,0.08067375886524823,0.057624113475177305,0.08687943262411348,53.266903508771975,9.763105263157897,10.072991228070176,12.82956073648051,9.816115157821713
1093460,2015,1,1,opinions,op-ed,763,759,40,23.07,19.0,384,0.5059,13.9383,0.736,0.7474,0.448,0.1657638136511376,0.09317443120260022,0.07258938244853738,0.0552546045503792,0.07367280606717226,44.84315789473686,11.724736842105266,10.832571052631579,13.662883650711645,12.373106159895151
