article_id,year,corpus,article_type
1097920,2015,news,news
1097917,2015,news,news
1097971,2015,news,news
1097987,2015,news,news
1098000,2015,news,news
1097989,2015,news,news
1098001,2015,opinions,opinion
1097986,2015,opinions,column
1098003,2015,opinions,opinion
1097985,2015,opinions,column
1098019,2015,news,news
1098133,2015,opinions,opinion
1098151,2015,opinions,column
1098149,2015,opinions,column
1098143,2015,opinions,column
1098128,2015,news,news
1098161,2015,news,news
1098142,2015,news,news
1098178,2015,news,news
1098067,2015,news,news
1098069,2015,news,news
1098046,2015,news,news
1098222,2015,news,news
1098145,2015,news,news
1098229,2015,opinions,column
1098213,2015,opinions,column
1098232,2015,opinions,column
1098212,2015,news,news
1098210,2015,opinions,op-ed
1098219,2015,news,news
1098227,2015,news,news
1098319,2015,news,news
1098312,2015,news,news
1098297,2015,news,news
1098309,2015,opinions,column
1098302,2015,opinions,op-ed
1098303,2015,opinions,column
1098397,2015,news,news
1098388,2015,news,news
1098396,2015,news,news
1098390,2015,news,news
1098387,2015,opinions,column
1098394,2015,opinions,column
1098474,2015,opinions,column
1098503,2015,news,news
1098471,2015,opinions,column
1098475,2015,news,news
1098484,2015,opinions,column
1098574,2015,opinions,column
1098575,2015,opinions,op-ed
1098599,2015,opinions,column
1098579,2015,opinions,column
1098485,2015,opinions,op-ed
1098571,2015,news,news
1098570,2015,news,news
1098504,2015,news,news
1098559,2015,news,news
1098695,2015,news,news
1098690,2015,news,news
1098608,2015,opinions,editorial
1098705,2015,opinions,column
1098709,2015,opinions,column
1098673,2015,news,news
1098720,2015,opinions,editorial
1098701,2015,opinions,op-ed
1098827,2015,opinions,column
1098799,2015,opinions,column
1098889,2015,opinions,op-ed
1098825,2015,news,news
1098826,2015,news,news
1098814,2015,news,news
1098942,2015,opinions,op-ed
1098933,2015,opinions,op-ed
1098918,2015,opinions,column
1098923,2015,opinions,op-ed
1098980,2015,news,news
1098926,2015,news,news
1099004,2015,news,news
1098993,2015,news,news
1098953,2015,news,news
1098945,2015,news,news
1098987,2015,news,news
1098982,2015,news,news
1098929,2015,news,news
1099002,2015,opinions,column
1098992,2015,opinions,column
1098988,2015,opinions,column
1098990,2015,opinions,op-ed
1098999,2015,opinions,column
1099215,2015,news,news
1099165,2015,news,news
1099142,2015,news,news
1099140,2015,opinions,op-ed
1099162,2015,opinions,column
1099139,2015,opinions,op-ed
1099163,2015,opinions,op-ed
1099245,2015,news,news
1099243,2015,news,news
1099236,2015,news,news
1099231,2015,news,news
